backdrop_path,budget,id,origin_country,overview,popularity,poster_path,revenue,mots_cles,title,tconst,startYear,runtimeMinutes,genres,averageRating,numVotes,bande_annonce
https://image.tmdb.org/t/p/original/44IYRp4w81GGTyHijtkv3ahDQ0I.jpg,0,19099,['FR'],"The life of four best friends in Paris: Antoine (a gym school teacher), Jeff (director of a monthly journal), Alex (Jeff's associate in the monthly journal and a Don Juan) and Manu (owner of fine food store). Their time is shared between their respective jobs, their relationship with women (their own and others...) and the times they meet together to discuss about life and play sport lottery.",0.8612,https://image.tmdb.org/t/p/w500/2QCoj8iZWysxVsG78DmFqv606P2.jpg,0,[],Le Cœur des hommes,tt0349225,2003,100,"Comedy,Drama,Romance",6.5,1944,https://www.youtube.com/watch?v=5TGN51WLRrA
https://image.tmdb.org/t/p/original/vIzv89578J2IMffX3ZSaD6STKQe.jpg,0,22623,['FR'],"It's been ten years since the paths of René and François parted ways. From the glorious era when, as cops, they roamed the Montmartre district, they only have a handful of memories left, the money from their cronies having evaporated over time. Everything comes to an end. Until it starts again.",0.2529,https://image.tmdb.org/t/p/w500/1xHhUux28lemC990bH5KCqWS0Er.jpg,0,"['paris, france', 'money laundering', 'mistaken identity', 'chinese mafia', 'sequel', 'police corruption', 'bank robbery', 'trainee', 'police commissioner', 'river barge']",Ripoux 3,tt0351795,2003,105,"Action,Comedy,Crime",5.8,1339,https://www.youtube.com/watch?v=1e-tck1gQ-c
https://image.tmdb.org/t/p/original/9XizmVKaw8Fce9J8YUY1LN0i6EQ.jpg,0,14648,['FR'],"Bernand Fréderic is a mediocre bank executive. He's married and has a son. He used to have another profession: being French star Claude Francois. Now, with the Imitators Gala Night coming up, he must choose between his wife or the only thing that makes him happy: the applause.",0.5838,https://image.tmdb.org/t/p/w500/rq2KTyTJXd2p4kwCa1dajdrXimA.jpg,0,['look-alike'],Podium,tt0354836,2004,95,"Comedy,Music",6.4,4525,https://www.youtube.com/watch?v=hRW_ODOsCGo
https://image.tmdb.org/t/p/original/bHePzkyRcMhnab2qZbhj1bCElnf.jpg,6000000,300,['FR'],A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,0.7991,https://image.tmdb.org/t/p/w500/8bummqwU6MV65ZJvNtKx8Y3NIEk.jpg,9524340,"['jealousy', 'dreams', 'mexico', 'paris, france', 'nightmare', 'escape', 'magic', 'date', 'subconsciousness', 'cloud', 'love', 'travel', 'art', 'magic realism', 'insecure']",La science des rêves,tt0354899,2006,105,"Comedy,Drama,Fantasy",7.2,71563,https://www.youtube.com/watch?v=koacpw5a8Ro
https://image.tmdb.org/t/p/original/22sEgukNcmmfuhr991FLM4Y50Za.jpg,0,37351,['FR'],"Joseph Rouletabille, a reporter for a local newspaper, investigates the attempted killing of Mathilde Stangerson, who uses the yellow room of the title as her bedroom. At the time of the revolver shots her room was locked and the windows were barred, but when her father enters after having forced the door, there is no-one there except for Mathilde. So who did it and how did he get away?",0.2051,https://image.tmdb.org/t/p/w500/dbKJted6TJE6wdW1ZDXvtfrDMiR.jpg,0,"['gaston leroux', 'yellow room']",Le Mystère de la chambre jaune,tt0356922,2003,118,"Comedy,Crime,Mystery",6.3,1931,https://www.youtube.com/watch?v=hv70hmpFokE
https://image.tmdb.org/t/p/original/4GJbq7pe3hZ7ECubGJn5cJQoxHC.jpg,0,51945,['FR'],"A musical drawing room farce set in Paris in October, 1925. Gilberte, in middle-age, flirts with men but loves her husband Georges, wishing he were more demonstrative. He's negotiating a deal with an American, Eric Thomson, who turns out to be Gilberte's first husband from an annulled and secret stateside marriage. Along with her sister Arlette, Gilberte begs Eric not to tell Georges about the marriage. Meanwhile, a young artist, Charly, pursues Gilberte while Arlette tries to match him with the young Huguette, who loves him. Will Eric play along or try to re-win Gilberte's affection? Can Gilberte play one off against another? And who will manage to kiss whom on the lips?",0.2979,https://image.tmdb.org/t/p/w500/vpfbKUkvOrv0atZMlHAzNqAAhEL.jpg,0,"['paris, france', 'based on play or musical', 'operetta', '1920s']",Pas sur la bouche,tt0356999,2003,115,"Comedy,Musical,Romance",6.4,1725,pas disponible
https://image.tmdb.org/t/p/original/2fxpVG5TxDmylZopKqwnMQXPYMP.jpg,17820000,21778,['FR'],"In 35,000 BC, the tribe of the Dirty Hairs is at war against the tribe of the Clean Hairs for eight hundred years, trying to get their shampoo. The chief of the Dirty Hairs sends his daughter Guy disguised to the enemy tribe to get some shampoo for his tribe. When the healer of the Clean Hairs tribe surprisingly kills two cavemen of his tribe, their imbecile chief assigns Pierre with curled hair and Pierre blonde to investigate the murder and find the criminal.",2.2193,https://image.tmdb.org/t/p/w500/xRbqq7UjF8qsVQJRR86tclFdzyX.jpg,14054361,"['parody', 'caveman']",RRRrrrr!!!,tt0357111,2004,98,"Comedy,Crime,Mystery",5.8,15645,https://www.youtube.com/watch?v=y_UKPVezalU
https://image.tmdb.org/t/p/original/4ACkisdnfqSUbgeLKVZbodZEL5A.jpg,0,25714,"['DE', 'FR', 'GB']","James Bataille is in love. He attempts to stage an elaborate motorcycle stunt to impress the girl, but when it goes sour, he ends up in prison with a 133-year sentence. Bataille escapes from behind bars to make an appointment to fix the car of music biz tycoon, as well as watch the love of his life take part in the town's annual talent show.",0.3721,https://image.tmdb.org/t/p/w500/i5rF1Ryz6dCmiPKQUjmiRBWNzMW.jpg,0,"['alien', 'extraterrestrial', 'decapitation', 'rock concert', 'mexican food', 'motorcycle accident']",Atomik Circus - Le retour de James Bataille,tt0362084,2004,92,"Adventure,Comedy,Horror",5.3,1521,https://www.youtube.com/watch?v=fFs8fV31FDA
https://image.tmdb.org/t/p/original/pkDBwOWUjIE1hycR4epPGgfIX4.jpg,0,8424,"['BE', 'FR']","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",1.5599,https://image.tmdb.org/t/p/w500/3jwY4llYNzONpSwvdX4hH4q0nas.jpg,8561072,"['test of courage', 'belgium', 'crush']",Jeux d'enfants,tt0364517,2003,93,"Comedy,Drama,Romance",7.5,73489,https://www.youtube.com/watch?v=Zxw6IL3Qed0
https://image.tmdb.org/t/p/original/ohcDvA5DfIuOrID3ZqsGQNv3AsI.jpg,0,9642,['FR'],"Asterix and Obelix have been given a tough mission: Transform the chief's lazy nephew Justforkix into a warrior. When the Vikings abduct him and bring him back to their homeland, Asterix and Obelix must travel to Norway to rescue Justforkix.",2.0413,https://image.tmdb.org/t/p/w500/dW9h1Ez6PRx8PnZUVT27MnG8Wu5.jpg,22501596,"['france', 'magic', 'village', 'cartoon', 'vikings (norsemen)', 'based on comic', 'seefahrt', 'angsthase', 'warrior', '1st century']",Astérix et les Vikings,tt0371552,2006,78,"Adventure,Animation,Comedy",6.0,13163,https://www.youtube.com/watch?v=30q6OybaULg
