backdrop_path,budget,id,imdb_id,origin_country,overview,popularity,poster_path,revenue
https://image.tmdb.org/t/p/original/wHlebpXYm2vdwxSwlbs4LHHr6Vg.jpg,450000,51166,tt0051133,['FR'],The spoiled daughter of the French Ambassador tricks one of his aides into marrying her.,0.7133,https://image.tmdb.org/t/p/w500/xn6k3ywAtxRWn6hhbc1ilY1OhoH.jpg,8000000
https://image.tmdb.org/t/p/original/5mFXaQUsTdvPIJiHglFriHDQ9Dt.jpg,0,4956,tt0051477,['FR'],"Vienna, 1906. A passionate love story develops between Franz Lobheiner and the young Christine. Lobheiner is, however, currently seeing the married Baroness von Eggersdorf. Upon learning of his wife's infidelity, the Baron von Eggersdorf provokes a duel with Lobheiner. But the former is no longer a real threat to the Baron. Lobheiner is now passionately in love with Christine. How will this love quartet end?",0.8787,https://image.tmdb.org/t/p/w500/e6cCoMlAyjk8g2ewPTvnBdo2AdY.jpg,0
https://image.tmdb.org/t/p/original/6EYLlBkrr97BjxQxSOTvK3CUEId.jpg,0,56544,tt0051851,['FR'],Assola is an imaginary village on the border between Italy and France and the borderline crosses the village itself. The French customs agent Ferdinand is always trying to catch the Italian smuggler Giuseppe. Giuseppe discovers that Ferdinand was actually born in Italy and therefore he can't be a French customs agent.,0.3582,https://image.tmdb.org/t/p/w500/iGDcPVt5TeCP5U8jrLFKuQNy2Ba.jpg,0
https://image.tmdb.org/t/p/original/kCdhAnRN5dkkIeHqWFgoTUx5pSk.jpg,0,44521,tt0051989,['FR'],"In a small French village, everything would be quiet if the local wildlife cop was not being ridiculed by a smart poacher.",0.7961,https://image.tmdb.org/t/p/w500/j5cIpS6rlLNnwmWwCt3jOLSuJ61.jpg,0
https://image.tmdb.org/t/p/original/wgo4NDOiZkkcbKx5Z38lvAJX50n.jpg,0,43101,tt0052765,['FR'],"Etienne Alexis, a candidate for president of the new Europe, is a scientist promoting artificial insemination for social betterment and therapy to eliminate passion. To celebrate his engagement to a cousin, he hosts an aseptic picnic, where mother nature asserts herself. A shepherd's flute conjures a windstorm that throws Alexis together with the luscious Nénette, a farm lass who wants to have a baby but is unimpressed with men.",0.1679,https://image.tmdb.org/t/p/w500/lBeayRLDWw8l3eDkaqlqWlYsgXv.jpg,0
https://image.tmdb.org/t/p/original/x0C7IMKq7CfD2juh5kUYaYzEiD6.jpg,0,58736,tt0053403,['FR'],"In 1942, a French prisonner of war in Germany decide to escape to France using a cow hold by a lunge as a decoy. He cross all Germany in this way.",0.545,https://image.tmdb.org/t/p/w500/2OJStomiaADWhVefZxrHrmtpgBy.jpg,0
https://image.tmdb.org/t/p/original/dxjjKUulnhB6sLND0WuYJtURUxE.jpg,0,2546,tt0054494,['FR'],A brash and precocious ten-year-old comes to Paris for a whirlwind weekend with her rakish uncle.,0.5193,https://image.tmdb.org/t/p/w500/hl0loQ9fci2PMdRFuZIYoHTP8x8.jpg,0
https://image.tmdb.org/t/p/original/lZB9aHehXOcoHxlPyuH3pjncnPZ.jpg,0,59434,tt0054734,['FR'],"""Le Dabe"" retired many years ago and now he lives in the Tropics where he owns stables and horses. He is a very rich man. He was the king of all money counterfeiters. He is contacted from Paris to organize a new job. He says no. But when he finds out the the currency that should be counterfeited is the Dutch florin, he accepts immediately. He retired after having counterfeited 100 florin notes just before the Queen Wilhelmina retired them from circulation. He flies to Paris. But the gang is not to be trusted, at least not all of them.",0.3764,https://image.tmdb.org/t/p/w500/h8yMOVojgPug4zYQZqHedZKGN6C.jpg,0
https://image.tmdb.org/t/p/original/o0vdiPmh1oEpyZ1hSSPnb6tKPRd.jpg,0,10421,tt0054949,['FR'],"For generations, two rival French villages, Longueverne and Velrans, have been at war. But this is no ordinary conflict, for the on-going hostilities are between two armies of young schoolboys. When he is beaten by his father for having lost his buttons, the leader of the Longueverne army, Lebrac, has an idea which will give his side the advantage: next time, he and his brave soldiers will go in battle without their clothes...",1.0802,https://image.tmdb.org/t/p/w500/tg3RwUclgnW3hM1ExHkMd71YQ0n.jpg,0
https://image.tmdb.org/t/p/original/oseBXGQMYWTWzAVHJaUEwGgrjGA.jpg,160000,31522,tt0055572,['FR'],"Longing for a baby, a stripper pursues another man in order to make her boyfriend jealous.",0.834,https://image.tmdb.org/t/p/w500/xrZu21hriGJQY3qY8nifh2smVHu.jpg,100655
https://image.tmdb.org/t/p/original/zjLR7DbWujKiG7VhtjQ4r3gsjou.jpg,0,43000,tt0055827,['FR'],"The story serves as a companion piece to Renoir's 1937 film, Grand Illusion, once more bringing together men from across the broad social spectrum of French society to depict one man's Sisyphean efforts to escape captivity in a German POW camp.",0.3667,https://image.tmdb.org/t/p/w500/32gR2wkvNQr7GoJpDiCfHFoNL72.jpg,0
https://image.tmdb.org/t/p/original/aeNAF2tnhgjEyaFVjLxthCYvUn5.jpg,0,26866,tt0055832,['FR'],"In the 18th century, Louis de Bourguignon is working with the Malichot's gang, but their ways are too 'unethical' for him. He creates his own band, acting under the name of Cartouche, making audacious robberies of the rich people, and even distributing the takings with the poor. Thus, cartouche attracts the people's sympathies, Venus's love, and hate from the Police and Malichot... Cartouche can escape all the traps they set at him - except the entrapments of love. Eventually, he will be saved by a woman, at her own cost.",0.54,https://image.tmdb.org/t/p/w500/5j6hcUIXzG8ltLk2yQeFdhJx6jA.jpg,0
https://image.tmdb.org/t/p/original/oyatchDPpS4I9jpIIezFJGrmXcR.jpg,0,499,tt0055852,['FR'],"Agnès Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman’s life, Cléo from 5 to 7 is a spirited mix of vivid vérité and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina.",2.3927,https://image.tmdb.org/t/p/w500/oelBStY4xpguaplRv15P3Za7Xsr.jpg,0
https://image.tmdb.org/t/p/original/soMI961NYTzsVHlnqRq1kZkh30z.jpg,0,53386,tt0055904,['FR'],"The film consists of seven roughly 15 minute episodes, each showing what will happen if one or more of the Ten Commandments will be broken: Jérome Chambard is warned that he will lose his job if he continues to swear; Françoise Beaufort enamored of a stripper calls on her only to find her married to a janitor who doesn't know what kind of dancing his wife performs; Denis, a Jesuit novice, leaves the order to avenge his sister's suicide, which was provoked by Garigny, who seduced her into prostitution and drug addiction; Philip buys a necklace for Micheline though he is bored with her; a young man find out that his real mother is not Madeleine, but actress Clarisse Ardant; Didier Marin, cashier of a bank, was fired by his boss; the Devil appears as a serpent for Jérome Chambard and the bishop are eating.",0.7692,https://image.tmdb.org/t/p/w500/yIJUl5m4zbqUnb9qWdgmr684lQZ.jpg,0
https://image.tmdb.org/t/p/original/gjAqfF7XMdIj19fpJmMXdNQQfTU.jpg,0,44522,tt0056014,['FR'],The story takes place in the racecourses around Paris. A so-called major sells his tips to naive characters.,0.3074,https://image.tmdb.org/t/p/w500/jydLsmfTSEJjZJyoQz3ZVfXpldm.jpg,0
https://image.tmdb.org/t/p/original/sI9m1OevDTh3PJr7666Ty2GTVnG.jpg,0,67556,tt0056514,['FR'],"Absent-minded yet cultured, Pierre answers his parents demands to wed by ignoring both astronomy and the housemaid, instead falling head-over-heels for rich damsels.",0.1834,https://image.tmdb.org/t/p/w500/ld8Ig3n6CR5hH8g62nQuWl8E68w.jpg,0
https://image.tmdb.org/t/p/original/4KnKQPGJ95Ti2pEJbkVLXPtooOm.jpg,0,33998,tt0056636,['FR'],"During World War II, an innkeeper vows to abstain from alcohol for the sake of his family. Years later, as they thrive in Normandy, his resolve is tested by a charming advertising professional who loves to drink.",0.6551,https://image.tmdb.org/t/p/w500/qG69UrjSb89cDImW7uKp5xd9Upz.jpg,0
https://image.tmdb.org/t/p/original/nD5JILuulYrIAzFtFNw4xxT7fwP.jpg,0,52705,tt0056905,['FR'],"During a war in an imaginary country, unscrupulous soldiers recruit poor farmers with promises of an easy and happy life. Two of these farmers write to their wives of their exploits.",0.4039,https://image.tmdb.org/t/p/w500/z2rZxtpE7ets4KkZPhFn4hE9SzW.jpg,0
